scrape_timestamp,source_url,item_name,item_type,quality,craftable,price_ref,price_text,usd_price,stats_url
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Civilian Grade Keyless Case #114,Tool,Unique,True,6.78,5–8.55 ref,0.2066,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/114
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Freelance Grade Keyless Case #115,Tool,Unique,True,3.72,3.11–4.33 ref,0.1135,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/115
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Mercenary Grade Keyless Case #116,Tool,Unique,True,9.06,8–10.11 ref,0.2762,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/116
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Civilian Grade Keyless Case #111,Tool,Unique,True,1.39,1.33–1.44 ref,0.0422,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/111
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Freelance Grade Keyless Case #112,Tool,Unique,True,5.0,5 ref,0.1525,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/112
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Mercenary Grade Keyless Case #113,Tool,Unique,True,5.5,4–7 ref,0.1678,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/113
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Collector's,True,11444.0,200 keys,,https://backpack.tf/stats/Collector%27s/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Strange,True,1001.35,16–19 keys,,https://backpack.tf/stats/Strange/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Unique,True,5.28,4.55–6 ref,0.16,https://backpack.tf/stats/Unique/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Color Similar to Slate,Tool,Unique,True,12.0,11.44–12.55 ref,0.3658,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Color Similar to Slate (Non-Craftable),Tool,Unique,False,61.51,0.95–1.2 keys,,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Non-Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Deep Commitment to Purple,Tool,Unique,True,30.78,28.44–33.11 ref,0.9386,https://backpack.tf/stats/Unique/A%20Deep%20Commitment%20to%20Purple/Tradable/Craftable
