scrape_timestamp,source_url,item_name,item_type,quality,craftable,price_ref,key_price_ref,price_keys_equivalent,source_price_low,source_price_high,source_price_unit,price_is_range,display_price,display_unit,price_text,usd_price,stats_url
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Civilian Grade Keyless Case #114,Tool,Unique,True,6.775,90.215,0.07509837610153522,5.0,8.55,ref,True,6.775,ref,5–8.55 ref,0.2066,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/114
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Freelance Grade Keyless Case #115,Tool,Unique,True,3.7199999999999998,90.215,0.04123482791110125,3.11,4.33,ref,True,3.7199999999999998,ref,3.11–4.33 ref,0.1135,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/115
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Mercenary Grade Keyless Case #116,Tool,Unique,True,9.055,90.215,0.10037133514382308,8.0,10.11,ref,True,9.055,ref,8–10.11 ref,0.2762,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/116
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Civilian Grade Keyless Case #111,Tool,Unique,True,1.385,90.215,0.01535221415507399,1.33,1.44,ref,True,1.385,ref,1.33–1.44 ref,0.0422,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/111
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Freelance Grade Keyless Case #112,Tool,Unique,True,5.0,90.215,0.05542315579449093,5.0,5.0,ref,False,5.0,ref,5 ref,0.1525,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/112
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Mercenary Grade Keyless Case #113,Tool,Unique,True,5.5,90.215,0.06096547137394003,4.0,7.0,ref,True,5.5,ref,4–7 ref,0.1678,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/113
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Collector's,True,18043.0,90.215,200.0,200.0,200.0,keys,False,200.0,keys,200 keys,,https://backpack.tf/stats/Collector%27s/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Strange,True,1578.7625,90.215,17.5,16.0,19.0,keys,True,17.5,keys,16–19 keys,,https://backpack.tf/stats/Strange/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Unique,True,5.275,90.215,0.05847142936318794,4.55,6.0,ref,True,5.275,ref,4.55–6 ref,0.16,https://backpack.tf/stats/Unique/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Color Similar to Slate,Tool,Unique,True,11.995000000000001,90.215,0.13296015075098377,11.44,12.55,ref,True,11.995000000000001,ref,11.44–12.55 ref,0.3658,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Color Similar to Slate (Non-Craftable),Tool,Unique,False,96.981125,90.215,1.075,0.95,1.2,keys,True,1.075,keys,0.95–1.2 keys,,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Non-Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Deep Commitment to Purple,Tool,Unique,True,30.775,90.215,0.3411295239150917,28.44,33.11,ref,True,30.775,ref,28.44–33.11 ref,0.9386,https://backpack.tf/stats/Unique/A%20Deep%20Commitment%20to%20Purple/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Deep Commitment to Purple (Non-Craftable),Tool,Unique,False,32.11,90.215,0.35592750651222077,29.22,35.0,ref,True,32.11,ref,29.22–35 ref,0.9794,https://backpack.tf/stats/Unique/A%20Deep%20Commitment%20to%20Purple/Tradable/Non-Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Distinctive Lack of Hue,Tool,Unique,True,261.6235,90.215,2.8999999999999995,2.75,3.05,keys,True,2.8999999999999995,keys,2.75–3.05 keys,,https://backpack.tf/stats/Unique/A%20Distinctive%20Lack%20of%20Hue/Tradable/Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Distinctive Lack of Hue (Non-Craftable),Tool,Unique,False,112.76875000000001,90.215,1.25,1.15,1.35,keys,True,1.25,keys,1.15–1.35 keys,,https://backpack.tf/stats/Unique/A%20Distinctive%20Lack%20of%20Hue/Tradable/Non-Craftable
2026-08-08T12:54:04,https://backpack.tf/spreadsheet,A Handsome Handy Thing,Cosmetic,Strange,True,4.609999999999999,90.215,0.05110014964252064,4.22,5.0,ref,True,4.609999999999999,ref,4.22–5 ref,0.14,https://backpack.tf/stats/Strange/A%20Handsome%20Handy%20Thing/Tradable/Craftable
