effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,exist,slot,summary,defindex,scrape_timestamp,usd_price,key_low,key_high,key_mid,item_type,bp_price_keys_equivalent,has_price
99,Nebula,Captain Space Mann,706667.0,10000–14700 keys,30,misc,Level 1-100 Helmet,30646,2026-07-21T22:54:09,21553.34,10000.0,14700.0,12350.0,cosmetic,11628.550271515549,True
99,Nebula,Corona Australis,177382.0,3100 keys,4,misc,Level 1-100 Cosmetic Augmentation,30648,2026-07-21T22:54:09,5410.15,3100.0,3100.0,3100.0,cosmetic,2918.9073556030935,True
99,Nebula,Universal Translator,29754.4,480–560 keys,538,misc,Level 1-100 Hat,30658,2026-07-21T22:54:09,907.51,480.0,560.0,520.0,cosmetic,489.6231693269705,True
99,Nebula,Phononaut,21772.21,361–400 keys,100,misc,Level 1-100 Hat,30647,2026-07-21T22:54:09,664.05,361.0,400.0,380.5,cosmetic,358.2723383248313,True
99,Nebula,A Head Full of Hot Air,6608.91,109–122 keys,502,misc,Level 1-100 Hat,30662,2026-07-21T22:54:09,201.57,109.0,122.0,115.5,cosmetic,108.75283857166364,True
74,Spellbound,Antlers,938408.0,16400 keys,2,misc,Level 1-100 Cosmetic Item,993,2026-07-21T22:54:09,28621.44,16400.0,16400.0,16400.0,cosmetic,15441.9614941583,True
74,Spellbound,Virtual Viewfinder,791066.5,12000–15650 keys,1,misc,Level 1-100 Headset,30140,2026-07-21T22:54:09,24127.53,12000.0,15650.0,13825.0,cosmetic,13017.38522297186,True
74,Spellbound,Hong Kong Cone,786775.0,13750 keys,1,misc,Level 1-100 Hat,30177,2026-07-21T22:54:09,23996.64,13750.0,13750.0,13750.0,cosmetic,12946.766496626624,True
74,Spellbound,Soldered Sensei,746721.0,13050 keys,6,misc,Level 1-100 Hat,30004,2026-07-21T22:54:09,22774.99,13050.0,13050.0,13050.0,cosmetic,12287.658384071086,True
74,Spellbound,Patriot Peak,660891.0,11550 keys,0,misc,Level 1-100 Hat,30743,2026-07-21T22:54:09,20157.18,11550.0,11550.0,11550.0,cosmetic,10875.283857166365,True
74,Spellbound,Crone's Dome,492092.0,8600 keys,2,misc,Level 1-100 Hat,920,2026-07-21T22:54:09,15008.81,8600.0,8600.0,8600.0,cosmetic,8097.613954253743,True
74,Spellbound,War Pig,443455.0,7750 keys,5,misc,Level 1-100 Headgear,829,2026-07-21T22:54:09,13525.38,7750.0,7750.0,7750.0,cosmetic,7297.268389007733,True
74,Spellbound,Chieftain's Challenge,329015.0,5750 keys,1,misc,Level 1-100 Hat,250,2026-07-21T22:54:09,10034.96,5750.0,5750.0,5750.0,cosmetic,5414.10235313477,True
74,Spellbound,Pencil Pusher,314710.0,5500 keys,2,misc,Level 10 Hair,605,2026-07-21T22:54:09,9598.66,5500.0,5500.0,5500.0,cosmetic,5178.7065986506495,True
74,Spellbound,Salty Dog,311849.0,5450 keys,2,misc,Level 10 Hat,611,2026-07-21T22:54:09,9511.39,5450.0,5450.0,5450.0,cosmetic,5131.627447753825,True
