effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,exist,slot,summary,defindex,scrape_timestamp,usd_price,key_low,key_high,key_mid,item_type,bp_price_keys_equivalent,has_price
99,Nebula,Captain Space Mann,706667.0,10000–14700 keys,30,misc,Level 1-100 Helmet,30646,2026-07-22T21:29:26,21553.34,10000.0,14700.0,12350.0,cosmetic,11584.704918032787,True
99,Nebula,Corona Australis,177382.0,3100 keys,4,misc,Level 1-100 Cosmetic Augmentation,30648,2026-07-22T21:29:26,5410.15,3100.0,3100.0,3100.0,cosmetic,2907.901639344262,True
99,Nebula,Universal Translator,29754.4,480–560 keys,538,misc,Level 1-100 Hat,30658,2026-07-22T21:29:26,907.51,480.0,560.0,520.0,cosmetic,487.7770491803279,True
99,Nebula,Phononaut,21772.21,361–400 keys,100,misc,Level 1-100 Hat,30647,2026-07-22T21:29:26,664.05,361.0,400.0,380.5,cosmetic,356.92147540983603,True
99,Nebula,A Head Full of Hot Air,6608.91,109–122 keys,502,misc,Level 1-100 Hat,30662,2026-07-22T21:29:26,201.57,109.0,122.0,115.5,cosmetic,108.3427868852459,True
74,Spellbound,Antlers,938408.0,16400 keys,2,misc,Level 1-100 Cosmetic Item,993,2026-07-22T21:29:26,28621.44,16400.0,16400.0,16400.0,cosmetic,15383.737704918032,True
74,Spellbound,Virtual Viewfinder,791066.5,12000–15650 keys,1,misc,Level 1-100 Headset,30140,2026-07-22T21:29:26,24127.53,12000.0,15650.0,13825.0,cosmetic,12968.303278688525,True
74,Spellbound,Hong Kong Cone,786775.0,13750 keys,1,misc,Level 1-100 Hat,30177,2026-07-22T21:29:26,23996.64,13750.0,13750.0,13750.0,cosmetic,12897.95081967213,True
74,Spellbound,Soldered Sensei,746721.0,13050 keys,6,misc,Level 1-100 Hat,30004,2026-07-22T21:29:26,22774.99,13050.0,13050.0,13050.0,cosmetic,12241.327868852459,True
74,Spellbound,Patriot Peak,660891.0,11550 keys,0,misc,Level 1-100 Hat,30743,2026-07-22T21:29:26,20157.18,11550.0,11550.0,11550.0,cosmetic,10834.27868852459,True
74,Spellbound,Crone's Dome,492092.0,8600 keys,2,misc,Level 1-100 Hat,920,2026-07-22T21:29:26,15008.81,8600.0,8600.0,8600.0,cosmetic,8067.081967213115,True
74,Spellbound,War Pig,443455.0,7750 keys,5,misc,Level 1-100 Headgear,829,2026-07-22T21:29:26,13525.38,7750.0,7750.0,7750.0,cosmetic,7269.754098360656,True
74,Spellbound,Chieftain's Challenge,329015.0,5750 keys,1,misc,Level 1-100 Hat,250,2026-07-22T21:29:26,10034.96,5750.0,5750.0,5750.0,cosmetic,5393.688524590164,True
74,Spellbound,Pencil Pusher,314710.0,5500 keys,2,misc,Level 10 Hair,605,2026-07-22T21:29:26,9598.66,5500.0,5500.0,5500.0,cosmetic,5159.180327868852,True
74,Spellbound,Salty Dog,311849.0,5450 keys,2,misc,Level 10 Hat,611,2026-07-22T21:29:26,9511.39,5450.0,5450.0,5450.0,cosmetic,5112.2786885245905,True
74,Spellbound,Polar Pullover,293424.16,5128 keys,0,misc,Level 1-100 Hat,30329,2026-07-22T21:29:26,8949.44,5128.0,5128.0,5128.0,cosmetic,4810.232131147541,True
74,Spellbound,Minnesota Slick,287244.4,5020 keys,0,misc,Level 1-100 Hair,30315,2026-07-22T21:29:26,8760.95,5020.0,5020.0,5020.0,cosmetic,4708.924590163935,True
74,Spellbound,Das Übersternmann,283239.0,4950 keys,1,misc,Level 1-100 Hat,30097,2026-07-22T21:29:26,8638.79,4950.0,4950.0,4950.0,cosmetic,4643.262295081967,True
74,Spellbound,Prehistoric Pullover,247476.5,4325 keys,1,misc,Level 1-100 Hood,30704,2026-07-22T21:29:26,7548.03,4325.0,4325.0,4325.0,cosmetic,4056.9918032786886,True
74,Spellbound,Chill Chullo,244329.4,4270 keys,0,misc,Level 1-100 Hat,30748,2026-07-22T21:29:26,7452.05,4270.0,4270.0,4270.0,cosmetic,4005.4,True
74,Spellbound,Outta Sight,237463.0,4150 keys,1,misc,Level 1-100 Hat,30628,2026-07-22T21:29:26,7242.62,4150.0,4150.0,4150.0,cosmetic,3892.8360655737706,True
74,Spellbound,Burning Bandana,226019.0,3950 keys,2,misc,Level 1-100 Bandana,30091,2026-07-22T21:29:26,6893.58,3950.0,3950.0,3950.0,cosmetic,3705.2295081967213,True
74,Spellbound,Familiar Fez,220297.0,3850 keys,1,misc,Level 1-100 Hat,223,2026-07-22T21:29:26,6719.06,3850.0,3850.0,3850.0,cosmetic,3611.4262295081967,True
74,Spellbound,Backwards Ballcap,210283.5,3675 keys,5,misc,Level 10 Hat,617,2026-07-22T21:29:26,6413.65,3675.0,3675.0,3675.0,cosmetic,3447.2704918032787,True
74,Spellbound,Tough Stuff Muffs,204561.5,3100–4050 keys,4,misc,Level 1-100 Hat,984,2026-07-22T21:29:26,6239.13,3100.0,4050.0,3575.0,cosmetic,3353.467213114754,True
74,Spellbound,Killer Exclusive,188826.0,3300 keys,1,misc,Level 10 Hat,538,2026-07-22T21:29:26,5759.19,3300.0,3300.0,3300.0,cosmetic,3095.5081967213114,True
74,Spellbound,Cosa Nostra Cap,183104.0,3200 keys,1,misc,Level 1-100 Hat,459,2026-07-22T21:29:26,5584.67,3200.0,3200.0,3200.0,cosmetic,3001.7049180327867,True
74,Spellbound,Honcho's Headgear,180243.0,3150 keys,2,misc,Level 1-100 Hat,391,2026-07-22T21:29:26,5497.41,3150.0,3150.0,3150.0,cosmetic,2954.8032786885246,True
