scrape_timestamp,source_url,item_name,item_type,quality,craftable,price_ref,key_price_ref,price_keys_equivalent,source_price_low,source_price_high,source_price_unit,price_is_range,display_price,display_unit,price_text,usd_price,stats_url,source_value,source_value_high,source_currency,source_last_update,key_rate_source,source_price_provenance,market_id,collected_at,cleaning_version,price_status,source_updated_at,price_change_fraction,quality_flags,raw_row_number
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Contract Campaigner' War Paint Civilian Grade Keyless Case #114,,Unique,True,6.775,64.555,0.10494926806599024,5.0,8.55,ref,True,6.775,ref,5–8.55 ref,,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/114,5.0,8.55,metal,1782673566,captured,api_original,tf2:community:930872a6915e4a14eb680c7bcf9071e9,2026-09-10T05:19:41+00:00,2.0,priced,2026-06-28T19:06:06+00:00,4.440892098500626e-16,name_based_identity,5105
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Contract Campaigner' War Paint Freelance Grade Keyless Case #115,,Unique,True,3.7199999999999998,64.555,0.05762528076833707,3.11,4.33,ref,True,3.7199999999999998,ref,3.11–4.33 ref,,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/115,3.11,4.33,metal,1782709815,captured,api_original,tf2:community:216a59614ec4f2549b86fb3a2b5b45b8,2026-09-10T05:19:41+00:00,2.0,priced,2026-06-29T05:10:15+00:00,1.1102230246251565e-15,name_based_identity,5137
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Contract Campaigner' War Paint Mercenary Grade Keyless Case #116,,Unique,True,9.055,64.555,0.1402679885369065,8.0,10.11,ref,True,9.055,ref,8–10.11 ref,,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/116,8.0,10.11,metal,1782709795,captured,api_original,tf2:community:e8401416ce80ec0c4103eb64d87a917e,2026-09-10T05:19:41+00:00,2.0,priced,2026-06-29T05:09:55+00:00,0.0,name_based_identity,5270
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Decorated War Hero' War Paint Civilian Grade Keyless Case #111,,Unique,True,1.385,64.555,0.02145457361939431,1.33,1.44,ref,True,1.385,ref,1.33–1.44 ref,,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/111,1.33,1.44,metal,1670101273,captured,api_original,tf2:community:8347c60c2b720dab53bb97dd7ba33db0,2026-09-10T05:19:41+00:00,2.0,priced,2022-12-03T21:01:13+00:00,4.440892098500626e-16,name_based_identity,5136
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Decorated War Hero' War Paint Freelance Grade Keyless Case #112,,Unique,True,5.0,64.555,0.07745333436604444,5.0,5.0,ref,False,5.0,ref,5 ref,,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/112,5.0,5.0,metal,1668576696,captured,api_original,tf2:community:80a8f04af1f2cef0d00c14f2dc9ec6cf,2026-09-10T05:19:41+00:00,2.0,priced,2022-11-16T05:31:36+00:00,4.440892098500626e-16,name_based_identity,5135
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,'Decorated War Hero' War Paint Mercenary Grade Keyless Case #113,,Unique,True,5.5,64.555,0.0851986678026489,4.0,7.0,ref,True,5.5,ref,4–7 ref,,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/113,4.0,7.0,metal,1783274854,captured,api_original,tf2:community:f0c5303091b90502e897b48298814e7e,2026-09-10T05:19:41+00:00,2.0,priced,2026-07-05T18:07:34+00:00,0.0,name_based_identity,5271
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,A Brush with Death,,Collector's,True,12911.000000000002,64.555,200.0,200.0,200.0,keys,False,200.0,keys,200 keys,,https://backpack.tf/stats/Collector%27s/A%20Brush%20with%20Death/Tradable/Craftable,200.0,200.0,keys,1574409248,captured,api_original,tf2:community:49b7e674daff83dc8c97218d8b6227d2,2026-09-10T05:19:41+00:00,2.0,priced,2019-11-22T07:54:08+00:00,0.0,name_based_identity,3612
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,A Brush with Death,,Strange,True,1129.7125,64.555,17.5,16.0,19.0,keys,True,17.5,keys,16–19 keys,,https://backpack.tf/stats/Strange/A%20Brush%20with%20Death/Tradable/Craftable,16.0,19.0,keys,1761990779,captured,api_original,tf2:community:be3e2c45fe0ad7b054b038c43933c8d4,2026-09-10T05:19:41+00:00,2.0,priced,2025-11-01T09:52:59+00:00,0.0,name_based_identity,3611
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,A Brush with Death,,Unique,True,5.275,64.555,0.0817132677561769,4.55,6.0,ref,True,5.275,ref,4.55–6 ref,,https://backpack.tf/stats/Unique/A%20Brush%20with%20Death/Tradable/Craftable,4.55,6.0,metal,1769993391,captured,api_original,tf2:community:5181ac898c08881cedd8f97e69f18a3e,2026-09-10T05:19:41+00:00,2.0,priced,2026-02-02T00:49:51+00:00,0.0,name_based_identity,3610
2026-09-10T05:19:41,https://backpack.tf/api/IGetPrices/v4,A Color Similar to Slate,,Unique,False,69.396625,64.555,1.075,0.95,1.2,keys,True,1.075,keys,0.95–1.2 keys,,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Non-Craftable,0.95,1.2,keys,1769295186,captured,api_original,tf2:community:a3391e95b889655ec94a76d5a64e4736,2026-09-10T05:19:41+00:00,2.0,priced,2026-01-24T22:53:06+00:00,0.0,name_based_identity,2839
