effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,exist,slot,summary,defindex,scrape_timestamp
99,Nebula,Captain Space Mann,706667,10000–14700 keys,"706,667.00 ref, $21553.34",30,misc,Level 1-100 Helmet,30646,2026-07-22T19:06:53
99,Nebula,Corona Australis,177382,3100 keys,"177,382.00 ref, $5410.15",4,misc,Level 1-100 Cosmetic Augmentation,30648,2026-07-22T19:06:53
99,Nebula,Universal Translator,29754.4,480–560 keys,"29,754.40 ref, $907.51",538,misc,Level 1-100 Hat,30658,2026-07-22T19:06:53
99,Nebula,Phononaut,21772.21,361–400 keys,"21,772.21 ref, $664.05",100,misc,Level 1-100 Hat,30647,2026-07-22T19:06:53
99,Nebula,A Head Full of Hot Air,6608.91,109–122 keys,"6,608.91 ref, $201.57",502,misc,Level 1-100 Hat,30662,2026-07-22T19:06:53
74,Spellbound,Antlers,938408,16400 keys,"938,408.00 ref, $28621.44",2,misc,Level 1-100 Cosmetic Item,993,2026-07-22T19:06:53
74,Spellbound,Virtual Viewfinder,791066.5,12000–15650 keys,"791,066.50 ref, $24127.53",1,misc,Level 1-100 Headset,30140,2026-07-22T19:06:53
74,Spellbound,Hong Kong Cone,786775,13750 keys,"786,775.00 ref, $23996.64",1,misc,Level 1-100 Hat,30177,2026-07-22T19:06:53
74,Spellbound,Soldered Sensei,746721,13050 keys,"746,721.00 ref, $22774.99",6,misc,Level 1-100 Hat,30004,2026-07-22T19:06:53
74,Spellbound,Patriot Peak,660891,11550 keys,"660,891.00 ref, $20157.18",0,misc,Level 1-100 Hat,30743,2026-07-22T19:06:53
74,Spellbound,Crone's Dome,492092,8600 keys,"492,092.00 ref, $15008.81",2,misc,Level 1-100 Hat,920,2026-07-22T19:06:53
74,Spellbound,War Pig,443455,7750 keys,"443,455.00 ref, $13525.38",5,misc,Level 1-100 Headgear,829,2026-07-22T19:06:53
74,Spellbound,Chieftain's Challenge,329015,5750 keys,"329,015.00 ref, $10034.96",1,misc,Level 1-100 Hat,250,2026-07-22T19:06:53
74,Spellbound,Pencil Pusher,314710,5500 keys,"314,710.00 ref, $9598.66",2,misc,Level 10 Hair,605,2026-07-22T19:06:53
74,Spellbound,Salty Dog,311849,5450 keys,"311,849.00 ref, $9511.39",2,misc,Level 10 Hat,611,2026-07-22T19:06:53
74,Spellbound,Polar Pullover,293424.16,5128 keys,"293,424.16 ref, $8949.44",0,misc,Level 1-100 Hat,30329,2026-07-22T19:06:53
74,Spellbound,Minnesota Slick,287244.4,5020 keys,"287,244.40 ref, $8760.95",0,misc,Level 1-100 Hair,30315,2026-07-22T19:06:53
74,Spellbound,Das Übersternmann,283239,4950 keys,"283,239.00 ref, $8638.79",1,misc,Level 1-100 Hat,30097,2026-07-22T19:06:53
74,Spellbound,Prehistoric Pullover,247476.5,4325 keys,"247,476.50 ref, $7548.03",1,misc,Level 1-100 Hood,30704,2026-07-22T19:06:53
74,Spellbound,Chill Chullo,244329.4,4270 keys,"244,329.40 ref, $7452.05",0,misc,Level 1-100 Hat,30748,2026-07-22T19:06:53
74,Spellbound,Outta Sight,237463,4150 keys,"237,463.00 ref, $7242.62",1,misc,Level 1-100 Hat,30628,2026-07-22T19:06:53
74,Spellbound,Burning Bandana,226019,3950 keys,"226,019.00 ref, $6893.58",2,misc,Level 1-100 Bandana,30091,2026-07-22T19:06:53
74,Spellbound,Familiar Fez,220297,3850 keys,"220,297.00 ref, $6719.06",1,misc,Level 1-100 Hat,223,2026-07-22T19:06:53
74,Spellbound,Backwards Ballcap,210283.5,3675 keys,"210,283.50 ref, $6413.65",5,misc,Level 10 Hat,617,2026-07-22T19:06:53
74,Spellbound,Tough Stuff Muffs,204561.5,3100–4050 keys,"204,561.50 ref, $6239.13",4,misc,Level 1-100 Hat,984,2026-07-22T19:06:53
74,Spellbound,Killer Exclusive,188826,3300 keys,"188,826.00 ref, $5759.19",1,misc,Level 10 Hat,538,2026-07-22T19:06:53
74,Spellbound,Cosa Nostra Cap,183104,3200 keys,"183,104.00 ref, $5584.67",1,misc,Level 1-100 Hat,459,2026-07-22T19:06:53
74,Spellbound,Honcho's Headgear,180243,3150 keys,"180,243.00 ref, $5497.41",2,misc,Level 1-100 Hat,391,2026-07-22T19:06:53
74,Spellbound,Shooter's Sola Topi,143050,2500 keys,"143,050.00 ref, $4363.02",2,misc,Level 1-100 Helmet,158,2026-07-22T19:06:53
74,Spellbound,Your Worst Nightmare,128745,1800–2700 keys,"128,745.00 ref, $3926.72",2,misc,Level 10 Hair,600,2026-07-22T19:06:53
74,Spellbound,Head Warmer,125884,2200 keys,"125,884.00 ref, $3839.46",2,misc,Level 1-100 Hat,644,2026-07-22T19:06:53
74,Spellbound,Glengarry Bonnet,123023,2150 keys,"123,023.00 ref, $3752.20",2,misc,Level 1-100 Hat,100,2026-07-22T19:06:53
74,Spellbound,Hustler's Hallmark,117301,2050 keys,"117,301.00 ref, $3577.68",1,misc,Level 1-100 Hat,146,2026-07-22T19:06:53
74,Spellbound,A Rather Festive Tree,114440,2000 keys,"114,440.00 ref, $3490.42",2,misc,Level 1-100 Hat,341,2026-07-22T19:06:53
74,Spellbound,Galvanized Gibus,114440,2000 keys,"114,440.00 ref, $3490.42",3,misc,Level 1-100 Hat,30003,2026-07-22T19:06:53
74,Spellbound,Horrific Headsplitter,114440,2000 keys,"114,440.00 ref, $3490.42",3,misc,Level 31 Hat,291,2026-07-22T19:06:53
74,Spellbound,Sergeant's Drill Hat,114440,1800–2200 keys,"114,440.00 ref, $3490.42",4,misc,Level 1-100 Hat,183,2026-07-22T19:06:53
74,Spellbound,Swagman's Swatter,114440,2000 keys,"114,440.00 ref, $3490.42",2,misc,Level 10 Hat,626,2026-07-22T19:06:53
74,Spellbound,Greased Lightning,108718,1900 keys,"108,718.00 ref, $3315.90",2,misc,Level 1-100 Hair,30078,2026-07-22T19:06:53
74,Spellbound,Milkman,108718,1900 keys,"108,718.00 ref, $3315.90",2,misc,Level 1-100 Hat,219,2026-07-22T19:06:53
74,Spellbound,Towering Pillar of Hats,108718,1900 keys,"108,718.00 ref, $3315.90",3,misc,Level 1-100 Hat,135,2026-07-22T19:06:53
74,Spellbound,Wet Works,108718,1900 keys,"108,718.00 ref, $3315.90",2,misc,Level 1-100 Hat,30135,2026-07-22T19:06:53
74,Spellbound,Reggaelator,102996,1800 keys,"102,996.00 ref, $3141.38",1,misc,Level 1-100 Hat,390,2026-07-22T19:06:53
74,Spellbound,Nuke,100135,1750 keys,"100,135.00 ref, $3054.12",0,misc,Level 1-100 Hair,30885,2026-07-22T19:06:53
