effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,exist,slot,summary,defindex,scrape_timestamp
99,Nebula,Captain Space Mann,706667,10000–14700 keys,"706,667.00 ref, $21553.34",30,misc,Level 1-100 Helmet,30646,2026-07-21T22:54:09
99,Nebula,Corona Australis,177382,3100 keys,"177,382.00 ref, $5410.15",4,misc,Level 1-100 Cosmetic Augmentation,30648,2026-07-21T22:54:09
99,Nebula,Universal Translator,29754.4,480–560 keys,"29,754.40 ref, $907.51",538,misc,Level 1-100 Hat,30658,2026-07-21T22:54:09
99,Nebula,Phononaut,21772.21,361–400 keys,"21,772.21 ref, $664.05",100,misc,Level 1-100 Hat,30647,2026-07-21T22:54:09
99,Nebula,A Head Full of Hot Air,6608.91,109–122 keys,"6,608.91 ref, $201.57",502,misc,Level 1-100 Hat,30662,2026-07-21T22:54:09
74,Spellbound,Antlers,938408,16400 keys,"938,408.00 ref, $28621.44",2,misc,Level 1-100 Cosmetic Item,993,2026-07-21T22:54:09
74,Spellbound,Virtual Viewfinder,791066.5,12000–15650 keys,"791,066.50 ref, $24127.53",1,misc,Level 1-100 Headset,30140,2026-07-21T22:54:09
74,Spellbound,Hong Kong Cone,786775,13750 keys,"786,775.00 ref, $23996.64",1,misc,Level 1-100 Hat,30177,2026-07-21T22:54:09
74,Spellbound,Soldered Sensei,746721,13050 keys,"746,721.00 ref, $22774.99",6,misc,Level 1-100 Hat,30004,2026-07-21T22:54:09
74,Spellbound,Patriot Peak,660891,11550 keys,"660,891.00 ref, $20157.18",0,misc,Level 1-100 Hat,30743,2026-07-21T22:54:09
74,Spellbound,Crone's Dome,492092,8600 keys,"492,092.00 ref, $15008.81",2,misc,Level 1-100 Hat,920,2026-07-21T22:54:09
74,Spellbound,War Pig,443455,7750 keys,"443,455.00 ref, $13525.38",5,misc,Level 1-100 Headgear,829,2026-07-21T22:54:09
74,Spellbound,Chieftain's Challenge,329015,5750 keys,"329,015.00 ref, $10034.96",1,misc,Level 1-100 Hat,250,2026-07-21T22:54:09
74,Spellbound,Pencil Pusher,314710,5500 keys,"314,710.00 ref, $9598.66",2,misc,Level 10 Hair,605,2026-07-21T22:54:09
74,Spellbound,Salty Dog,311849,5450 keys,"311,849.00 ref, $9511.39",2,misc,Level 10 Hat,611,2026-07-21T22:54:09
74,Spellbound,Polar Pullover,293424.16,5128 keys,"293,424.16 ref, $8949.44",0,misc,Level 1-100 Hat,30329,2026-07-21T22:54:09
74,Spellbound,Minnesota Slick,287244.4,5020 keys,"287,244.40 ref, $8760.95",0,misc,Level 1-100 Hair,30315,2026-07-21T22:54:09
