scrape_timestamp,source_url,item_name,item_type,quality,craftable,price_ref,price_text,usd_price,stats_url,key_price_ref
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Purity Fist,,Normal,True,271131.0,4200 keys,,https://backpack.tf/stats/Normal/Purity%20Fist/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Purity Fist,,Genuine,True,49.44,47.88–51 ref,,https://backpack.tf/stats/Genuine/Purity%20Fist/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Purity Fist,,Unique,True,2.27,1.88–2.66 ref,,https://backpack.tf/stats/Unique/Purity%20Fist/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Purity Fist,,Unique,False,8.55,8.55 ref,,https://backpack.tf/stats/Unique/Purity%20Fist/Tradable/Non-Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Black Rose,,Normal,True,54032.535,756–918 keys,,https://backpack.tf/stats/Normal/Black%20Rose/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Black Rose,,Unique,True,21787.312500000004,315–360 keys,,https://backpack.tf/stats/Unique/Black%20Rose/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Bat,,Normal,True,77466.00000000001,1200 keys,,https://backpack.tf/stats/Normal/Bat/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Bat,,Unique,True,1.11,1.11 ref,,https://backpack.tf/stats/Unique/Bat/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Bat,,Strange,True,5.16,4.88–5.44 ref,,https://backpack.tf/stats/Strange/Bat/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Ellis' Cap,,Normal,True,32923.05,510 keys,,https://backpack.tf/stats/Normal/Ellis%27%20Cap/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Ellis' Cap,,Unique,True,1.33,1.22–1.44 ref,,https://backpack.tf/stats/Unique/Ellis%27%20Cap/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Batsaber,,Normal,True,22594.250000000004,350 keys,,https://backpack.tf/stats/Normal/Batsaber/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Batsaber,,Unique,True,3001.8075000000003,46–47 keys,,https://backpack.tf/stats/Unique/Batsaber/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Batsaber,,Strange,True,16784.300000000003,250–270 keys,,https://backpack.tf/stats/Strange/Batsaber/Tradable/Craftable,64.555
2026-08-27T10:32:53,https://backpack.tf/api/IGetPrices/v4,Prinny Machete,,Normal,False,12911.000000000002,200 keys,,https://backpack.tf/stats/Normal/Prinny%20Machete/Tradable/Non-Craftable,64.555
